Category,Prompt,Tags,Status,Date Used,Notes
Origin Story,"Before I figured it out, I was totally stuck in ___",,Not Used,,
Origin Story,My journey began the day I realized ___,,Not Used,,
Origin Story,Here’s what no one tells you about starting from zero...,,Not Used,,
Origin Story,"If you had met me back then, you wouldn’t believe this now...",,Not Used,,
Behind the Scenes,Here’s a part of my process I rarely talk about...,,Not Used,,
Behind the Scenes,The tool I actually use every day (but never promote) is ___,,Not Used,,
Behind the Scenes,A real look at what my day *actually* looks like...,,Not Used,,
Behind the Scenes,One thing I changed this year that made everything easier...,,Not Used,,
Hard Truths,"Most people won’t like this, but it needs to be said: ___",,Not Used,,
Hard Truths,Here’s the mistake I made that set me back months...,,Not Used,,
Hard Truths,This mindset kept me broke/burned out/confused for too long...,,Not Used,,
Hard Truths,The truth about hustle culture no one wants to admit...,,Not Used,,
What I Wish I Knew,"If I could go back to Day 1, I’d tell myself ___",,Not Used,,
What I Wish I Knew,One myth I believed for years (and what finally broke it),,Not Used,,
What I Wish I Knew,No one warned me about this part of the journey...,,Not Used,,
What I Wish I Knew,Here’s the shortcut I wish someone had handed me...,,Not Used,,
Mini-Rant,Can we stop pretending ___ is normal or healthy?,,Not Used,,
Mini-Rant,I’m tired of seeing ___ passed off as advice.,,Not Used,,
Mini-Rant,This industry’s obsession with ___ is hurting real people.,,Not Used,,
Mini-Rant,Here’s my unpopular opinion on ___,,Not Used,,
Lessons Learned,This lesson took me years — you can learn it in minutes:,,Not Used,,
Lessons Learned,Here’s what I learned the hard way (so you don’t have to),,Not Used,,
Lessons Learned,The turning point came when I finally understood ___,,Not Used,,
Lessons Learned,This one shift changed everything for me...,,Not Used,,
Audience Connection,What are you currently struggling with the most? I want to know.,,Not Used,,
Audience Connection,What’s one small win you had this week? Share it below.,,Not Used,,
Audience Connection,Drop a 🔥 if you’ve ever felt like ___,,Not Used,,
Audience Connection,"If you’re reading this, just know you’re not the only one who ___",,Not Used,,
Transformation,"I used to ___, now I ___ — here’s what changed.",,Not Used,,
Transformation,This isn’t overnight. It’s the result of ___,,Not Used,,
